,ft,bt,km,transmission,ownerNo,model,modelYear,price,Mileage,Engine,Seats,city
4969,Diesel,SUV,77027.0,Automatic,1,Toyota Fortuner,2019.0,1776500.0,12.9,1949.5,7.0,Hyderabad
4970,Petrol,Sedan,78000.0,Manual,1,Honda City,2009.0,385000.0,16.8,1497.0,5.0,Hyderabad
4971,Diesel,SUV,70000.0,Manual,2,Mahindra XUV300,2019.0,1000000.0,20.0,1497.0,5.0,Hyderabad
4972,Petrol,Sedan,112000.0,Manual,1,Skoda Octavia,2008.0,300000.0,12.8,1781.0,5.0,Hyderabad
4973,Diesel,Sedan,138000.0,Manual,1,Hyundai Verna,2013.0,515000.00000000006,22.32,1582.0,5.0,Hyderabad
4974,Diesel,Hatchback,51000.0,Manual,1,Ford Figo,2010.0,299000.0,20.0,1399.0,5.0,Hyderabad
4975,Petrol,Hatchback,83462.0,Manual,2,Hyundai i10,2010.0,268000.0,20.36,1197.0,5.0,Hyderabad
4976,Petrol,Hatchback,26494.0,Manual,1,Renault KWID,2021.0,483000.0,21.74,999.0,5.0,Hyderabad
4977,Diesel,SUV,82000.0,Automatic,1,BMW X1,2011.0,1299000.0,17.05,1949.5,5.0,Hyderabad
4978,Petrol,Hatchback,68101.0,Manual,1,Maruti Baleno,2018.0,618000.0,21.4,1197.0,5.0,Hyderabad
4979,Diesel,Hatchback,99105.0,Automatic,2,Maruti Swift,2018.0,691000.0,27.984999999999992,1248.0,5.0,Hyderabad
4980,Diesel,SUV,90000.0,Manual,1,Hyundai Creta,2016.0,1000000.0,19.67,1582.0,5.0,Hyderabad
4981,Petrol,Sedan,70424.0,Automatic,2,Maruti Ciaz,2017.0,653000.0,19.12,1373.0,5.0,Hyderabad
4982,Diesel,SUV,98000.0,Automatic,1,Maruti Vitara Brezza,2018.0,990000.0,24.3,1248.0,5.0,Hyderabad
4983,Diesel,Sedan,79189.0,Manual,2,Honda City,2014.0,537000.0,25.1,1498.0,5.0,Hyderabad
4984,Petrol,Hatchback,115218.0,Manual,1,Maruti Wagon R,2011.0,252999.99999999997,18.9,998.0,5.0,Hyderabad
